--contingency generator 
 conID,genID,busID,unitID,q(MW) 
1,l_1,1,'1 ',-4.060164246478861 
1,l_2,2,'1 ',5.1605294853623604 
1,l_3,3,'1 ',21.74384809259943 
1,l_4,6,'1 ',1.9433436437380949 
1,l_5,8,'1 ',19.237275766840405 
--end of contingency generator 
 --bus 
 contingency id,bus id,v(pu),theta(deg) 
0,1,1.0471392781678555,59.99666120139362 
0,2,1.0432654114359454,59.77470498725904 
0,3,1.017199314604811,58.28122765045571 
0,4,1.0322353690756363,59.14273011216281 
0,5,1.0358916811631624,59.35222136336073 
0,6,1.087463004779902,62.30704055050326 
0,7,1.0696280606069324,61.285173521540656 
0,8,1.0999999837559147,63.025356533673026 
0,9,1.058132944694832,60.62655189476362 
0,10,1.0543603656517293,60.41039903771434 
0,11,1.0653518051197786,61.04016213000708 
0,12,1.0732261493783137,61.491328822454214 
0,13,1.066089828505108,61.08244775516841 
0,14,1.0445886393972559,59.85052036477583 
1,1,1.0471392623300022,59.99666029395148 
1,2,1.0432653854335057,59.77470349742899 
1,3,1.0171993148062988,58.28122766200011 
1,4,1.032038446182566,59.13144726150038 
1,5,1.0358039515013595,59.34719482400131 
1,6,1.0874629663402806,62.30703834807518 
1,7,1.069194264806116,61.260318852983374 
1,8,1.1,63.02535746439056 
1,9,1.057311006720386,60.579458317806335 
1,10,1.0536025296286262,60.366978232027556 
1,11,1.06487863266706,61.013051345484456 
1,12,1.0441536976845511,59.825600040303655 
1,13,1.059451233810626,60.70208429727665 
1,14,1.0413368986896245,59.66420934615767 
--end of bus 
 --Delta 
 contingency id,Delta(MW) 
1,0.00203752390315974 
--end of Delta 
 --line flow 
 contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
0,'BL',1,2,i_1_2_'BL',21.506502796726476,-2.957667579027561,-21.424752718390096,-2.5608823081312875 
0,'BL',1,5,i_1_5_'BL',16.45845688083693,-1.137842819814034,-16.32378207784228,-3.6433569419796514 
0,'BL',2,3,i_2_3_'BL',49.19867903410661,1.8459350301231345,-48.14594030857699,-2.0603042534386162 
0,'BL',2,4,i_2_4_'BL',26.981426634026896,-3.5942825639087594,-26.59112375763583,1.116905890924438 
0,'BL',2,5,i_2_5_'BL',13.368140521595324,-1.6946989160228572,-13.274614552584968,-1.7590976966870304 
0,'BL',3,4,i_3_4_'BL',-26.71416189971888,1.4804299170721773,27.179314520893445,-1.6373490188818354 
0,'BL',4,5,i_4_5_'BL',-57.106286068641396,9.856002429639366,57.52705070767683,-8.528781534523674 
0,'BL',6,11,i_6_11_'BL',28.333532709480576,-0.7342481557902769,-27.68832998400198,2.085383364231074 
0,'BL',6,12,i_6_12_'BL',9.606002869497749,1.5230507550854608,-9.507686393933726,-1.3184267406514774 
0,'BL',6,13,i_6_13_'BL',26.44822053991294,4.736474881065776,-26.044385951509994,-3.941198511734483 
0,'BL',7,8,i_7_8_'BL',-0.3198276704879125,-18.442535552936196,0.3198276704878892,18.966363808554078 
0,'BL',7,9,i_7_9_'BL',3.639478040834734,11.183147254015655,-3.6394780408347485,-11.050158253840465 
0,'BL',9,10,i_9_10_'BL',-14.510332783935207,10.314666823393479,14.600378517480925,-10.075469574584513 
0,'BL',9,14,i_9_14_'BL',-4.570863070032799,7.529873094584946,4.658950705040307,-7.342498893079909 
0,'BL',10,11,i_10_11_'BL',-23.422035068460154,4.521743060807838,23.842027654835245,-3.538586740697346 
0,'BL',12,13,i_12_13_'BL',3.864270763185359,-0.42290410701421544,-3.835286765187327,0.4491277242505015 
